,State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,2741239,856350,626997,100.0,54.0
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,4081148,1338474,972486,98.0,57.0
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,4174064,1484794,1183084,100.0,64.0
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,5154296,1716933,1571644,101.0,64.0
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,4887813,1634726,1325715,100.0,61.0
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,3943323,1542688,1349467,95.0,73.0
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,3776269,1257238,949591,101.0,58.0
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,2797370,901640,728594,101.0,58.0
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,4517398,1598959,1410759,99.0,67.0
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,4053463,1246369,880792,99.0,52.0
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,ANDHRA PRADESH,4053028,1158386,782260,98.0,48.0
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,ANDHRA PRADESH,3033288,953406,683731,99.0,54.0
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,ANDHRA PRADESH,3488809,1160757,840262,98.0,57.0
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,ANDHRA PRADESH,2551335,790214,599596,104.0,54.0
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,ANDHRA PRADESH,3397448,1107686,796749,98.0,56.0
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,ANDHRA PRADESH,2703114,857824,637557,101.0,55.0
16,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,ANDHRA PRADESH,2344474,707503,530885,102.0,53.0
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,ANDHRA PRADESH,3512576,1179790,885233,100.0,59.0
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,ANDHRA PRADESH,3936966,1379223,1273166,100.0,67.0
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,ARUNACHAL PRADESH,148226,44027,29147,93.0,49.0
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,ARUNACHAL PRADESH,78690,21599,16850,103.0,49.0
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,ARUNACHAL PRADESH,99214,34210,28366,98.0,63.0
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,ARUNACHAL PRADESH,92076,20258,16348,103.0,40.0
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,ARUNACHAL PRADESH,145726,48380,34682,91.0,57.0
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,ARUNACHAL PRADESH,54080,18087,13762,93.0,59.0
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,ARUNACHAL PRADESH,83030,29470,24587,98.0,65.0
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,ARUNACHAL PRADESH,176573,65794,55254,98.0,69.0
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,ARUNACHAL PRADESH,49977,17720,8353,71.0,52.0
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,ARUNACHAL PRADESH,111975,29313,18661,94.0,43.0
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,ARUNACHAL PRADESH,35320,10723,7472,89.0,52.0
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,ARUNACHAL PRADESH,83448,24807,20471,100.0,54.0
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,ARUNACHAL PRADESH,83947,29566,18926,82.0,58.0
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,ARUNACHAL PRADESH,112274,36777,27969,93.0,58.0
33,Assam,Barpeta,26.427872264631056,90.97912010178116,303,ASSAM,1693622,499038,398020,95.0,53.0
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,ASSAM,738804,237114,196964,97.0,59.0
35,Assam,Cachar,24.815570668693017,92.86849650455927,316,ASSAM,1736617,639946,534182,96.0,68.0
36,Assam,Darrang,26.58463215962442,92.04141338028155,325,ASSAM,928500,268666,218373,95.0,52.0
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,308,ASSAM,686133,237761,185267,95.0,62.0
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,ASSAM,1326335,491361,393170,96.0,67.0
39,Assam,Goalpara,26.017277777777807,90.59869891598912,302,ASSAM,1008183,304302,259275,96.0,56.0
40,Assam,Golaghat,26.377219709794485,93.82583397823468,313,ASSAM,1066888,396475,325289,96.0,68.0
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,318,ASSAM,659296,226836,180530,95.0,62.0
42,Assam,Jorhat,26.76244824016563,94.30197722567289,312,ASSAM,1092256,432335,362594,96.0,73.0
43,Assam,Kamrup,26.170939452054807,91.58863273972592,321,ASSAM,1517542,550219,445100,95.0,66.0
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,ASSAM,956313,314253,242961,95.0,58.0
45,Assam,Karimganj,24.69660712250711,92.3679498575498,317,ASSAM,1228686,435942,359355,96.0,65.0
46,Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,ASSAM,887142,275220,214085,96.0,55.0
47,Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,ASSAM,1042137,375552,307934,97.0,66.0
48,Assam,Nagaon,26.26462170626351,92.9306191144708,305,ASSAM,2823768,921850,788866,96.0,61.0
49,Assam,Nalbari,26.46323767605632,91.40598521126763,323,ASSAM,771639,293184,238587,95.0,69.0
50,Assam,Sonitpur,26.73514926829268,92.85197804878044,306,ASSAM,1924110,620525,488047,96.0,58.0
51,Assam,Tinsukia,27.53549291139241,95.69055949367085,309,ASSAM,1327929,453449,344873,95.0,60.0
52,Bihar,Araria,26.211528119180603,87.30766554934816,209,BIHAR,2811569,727643,468125,92.0,43.0
53,Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,BIHAR,2540073,868733,597269,93.0,58.0
54,Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,MAHARASHTRA,3701282,1430936,1072901,92.0,68.0
55,Bihar,Banka,24.832355642023337,86.8664916342413,225,BIHAR,2034763,590961,374360,91.0,47.0
56,Bihar,Begusarai,25.54302613168723,86.12560144032932,222,BIHAR,2970541,918507,630166,89.0,52.0
57,Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,BIHAR,3037766,937669,635397,88.0,52.0
58,Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,BIHAR,2728407,973486,625665,91.0,59.0
59,Bihar,Buxar,25.48593018867924,84.08808081760995,232,BIHAR,1706352,593544,396263,92.0,58.0
60,Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,BIHAR,3937385,1125566,691068,91.0,46.0
61,Bihar,Gaya,24.7266541547278,84.94291217765044,236,BIHAR,4391418,1368803,928810,94.0,52.0
62,Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,BIHAR,2562012,793905,589093,102.0,54.0
63,Bihar,Jamui,24.78418380462726,86.26316298200514,238,BIHAR,1760405,534385,324203,92.0,49.0
64,Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,BIHAR,1125313,374412,244469,92.0,55.0
65,Bihar,Katihar,25.56565356037151,87.70466083591326,212,BIHAR,3071029,762256,517934,92.0,42.0
66,Bihar,Khagaria,25.53558891454964,86.56593256351037,223,BIHAR,1666886,461153,306875,89.0,46.0
67,Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,BIHAR,1690400,439921,305135,95.0,44.0
68,Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,BIHAR,1000912,305182,202088,90.0,51.0
69,Bihar,Madhepura,25.77341929460581,86.8978443983403,213,BIHAR,2001762,517666,316911,91.0,42.0
70,Bihar,Madhubani,26.41380538172716,86.16328360450552,207,BIHAR,4487379,1340085,815253,93.0,48.0
71,Bihar,Munger,25.198537962962963,86.54173672839504,226,BIHAR,1367765,473741,328076,88.0,59.0
72,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,BIHAR,4801062,1487117,1022115,90.0,52.0
73,Bihar,Nalanda,25.229345508982053,85.48053113772461,229,BIHAR,2877653,919558,600375,92.0,53.0
74,Bihar,Nawada,24.825708836206903,85.61594568965519,237,BIHAR,2219146,659474,431538,94.0,49.0
75,Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,BIHAR,3935042,1091226,668255,91.0,45.0
76,Bihar,Patna,25.40297114503818,85.3198433587787,230,BIHAR,5838465,2028047,1431632,90.0,59.0
